affiliation_id,affiliation_name,affiliation_country,affiliation_city
100249641,Laboratory of Biochemistry,Philippines,Los Banos
100249642,Department of Plant Pathology,Philippines,Los Banos
100249643,Department of Entomology,Philippines,Los Banos
100249644,College of Veterinary Medicine,Philippines,Los Banos
100249646,Department of Soil Science,Philippines,Los Banos
100249647,Department of Chemical Engineering,Philippines,Los Banos
100249656,College of Life and Environmental Sciences,China,Hangzhou
100250400,Department of Ophthalmology,Italy,Ravenna
100251459,Department of Applied Physics,Japan,Chofu
100252046,Department of Biochemistry,United States,Minneapolis
100252149,Department of Gastroenterology,Japan,Kyoto
100252190,Department of Behavioral Science,United States,Lexington
100252423,College of Public Health,Philippines,Manila
100252425,College of Medicine,Philippines,Manila
100252429,Department of Pediatrics,Philippines,Manila
100252431,Department of Occupational and Environmental Health,Philippines,Manila
100252432,Institute of Human Genetics,Philippines,Manila
100252433,Department of Medicine,Philippines,Manila
100252434,Department of Clinical Epidemiology,Philippines,Manila
100252436,Department of Pharmacology,Philippines,Manila
100253069,Department of Plant Sciences,United States,Fargo
100253469,Department of Biology,United States,San Francisco
100253606,Department of Endocrinology,India,Lucknow
100253934,Department of Neuroscience,Japan,Okayama
100254102,Department of Biology,United States,Boston
100254112,Department of Orthopaedic Surgery,Singapore,Singapore City
100254197,Department of Neurology,Singapore,Singapore City
100254511,Department of Chemistry,South Korea,Changwon
100255166,Department of Endoscopy,Japan,Hiroshima
100255217,Department of Biology,United States,Orlando
100255744,Department of Internal Medicine,Colombia,Cali
100256168,Faculty of Education,Macao,Taipa
100256233,Department of Surgery,United States,Cincinnati
100256625,Department of Botany,Canada,Vancouver
100256998,Department of Medicine,Taiwan,Taipei
100257074,Department of Biology,United States,Houston
100257758,Department of Ophthalmology,Belgium,Brussels
100258226,Department of Plant Pathology,China,Beijing
100258310,Physics Department,Philippines,Manila
100258314,Chemical Engineering Department,Philippines,Manila
100258315,Mechanical Engineering Department De,Philippines,Manila
100258824,Department of Pathology,United States,Albany
100259565,College of Life Sciences,China,Baoding
100259776,Department of Microbiology,United States,East Lansing
100260401,Department of Chemistry,United Kingdom,Egham
100260603,Department of Internal Medicine,Taiwan,Taipei
100260910,Department of Ophthalmology,United States,New York
100260915,Department of Biological Sciences,United States,Cortland
100261021,Department of Soil Sciences,Viet Nam,Can Tho
100261588,Department of Pathology,United States,Columbus
100261594,Department of Orthopaedics,China,Lanzhou
100262206,Department of Chemistry,Indonesia,Bandar Lampung
100262483,Department of Pathology,Japan,Tokyo
100262651,Department of Geography,Canada,Victoria
100262761,Department of Otorhinolaryngology,United Kingdom,Liverpool
100262817,Department of Biology,United States,Fort Collins
100263142,Department of Microbiology,United States,Fort Collins
100263146,Department of Statistics,United States,Fort Collins
100263210,Department of Physics,Japan,Kobe
100263305,Department of Physics,Taiwan,Kaohsiung
100263383,School of Public Health,United States,Boston
100263538,Department of Biochemistry,India,Vadodara
100263982,Department of Plant Pathology,India,Udaipur
100264342,College of Pharmacy,United States,Columbus
100264675,Department of Biological Sciences,United States,Baton Rouge
100264773,Department of Urology,United States,New Hyde Park
100264863,Department of Immunology,Philippines,Manila
100265008,Department of Biochemistry,Thailand,Nakhon Pathom
100265494,Department of Immunology,Sri Lanka,Colombo
100265576,Department of Prosthodontics,United States,Baton Rouge
100265935,Department of Chemistry,Australia,Hobart
100266171,Department of Neurology,Australia,Gosford
100266490,Department of Radiology,United States,Los Angeles
100266752,Department of Agronomy,India,Hisar
100266873,Department of Medicine,Finland,Kuopio
100267147,Department of Neurology,South Korea,Seoul
100267166,Department of Pediatrics,United States,Dallas
100267223,Department of Chemical Engineering,Japan,Fukuoka
100267472,Department of Aerospace Engineering,United States,Melbourne
100267662,Department of Neurology,India,Mumbai
100268103,Department of Surgery,Taiwan,Taipei
100268138,Biology Department,Philippines,Manila
100268167,Department of Endocrinology,China,Beijing
100268363,Institute of Physics,Czech Republic,Prague
100268527,Department of Physics,India,Kanpur
100268539,Department of Applied Biology,Japan,Kyoto
100268738,Department of Agronomy,Bangladesh,Mymensingh
100268827,Department of Pharmacy,Spain,Valencia
100269000,Department of Horticulture,United States,Corvallis
100269011,Department of Management,Australia,North Ryde
100269155,Department of Nutrition,Japan,Tokyo
100269508,Department of Applied Chemistry,Japan,Fukuoka
100269582,Department of Orthopaedic Surgery,South Korea,Seoul
100269853,Department of Medicine,United States,Maywood
100269862,Department of Soil Sciences,India,Hisar
100269900,Department of Surgery,United States,Salt Lake City
100270542,Department of Obstetrics and Gynecology,Uganda,Kampala
100270789,Department of Ophthalmology,Singapore,Singapore City
100271156,Department of Plant Sciences,United States,Tucson
100271165,Department of Physics,United States,Millersville
100271189,Department of Obstetrics and Gynecology,Nigeria,Ibadan
100271400,College of Pharmacy,South Korea,Gwangju
100271418,Department of Surgery,Thailand,Bangkok
100271420,Institute of Zoology,Belgium,Ghent
100271815,Department of Botany,India,New Delhi
100272598,Department of Pediatrics,Taiwan,Taoyuan
100272950,Department of Chemistry,South Korea,Seoul
100273115,Department of Agronomy,India,Hyderabad
100273166,Department of Computer Science,United States,Blacksburg
100273173,Department of Radiology,United States,Mineola
100273974,Department of Psychology,South Korea,Busan
100274617,Department of Neurology,South Korea,Seoul
100274748,Department of Civil Engineering,Indonesia,Surabaya
100274807,Department of Pediatrics,United States,St Petersburg
100274994,Department of Biology,Indonesia,Depok
100274995,Department of Internal Medicine,Indonesia,Depok
100275006,Division of Infectious Diseases,Australia,Brisbane
100275590,Department of Surgery,Hong Kong,Pokfulam
100275630,Department of Urology,United States,Norfolk
100275661,Department of Entomology,United States,Fargo
100275914,Department of Theoretical Physics,Russian Federation,Saint Petersburg
100275947,Department of Pathology,United States,Hanover
100276085,Department of Chemistry,South Korea,Gangneung
100276433,Department of Medicine,United States,Hanover
100276928,Department of Surgery,Thailand,Bangkok
100276929,Department of Medicine,Thailand,Bangkok
100277286,Department of Microbiology,South Korea,Seoul
100277496,Department of Internal Medicine,Indonesia,Central Jakarta
100278214,Department of Plant Pathology,Taiwan,Taichung
100278597,Department of Oral Surgery,Japan,Gifu
100278672,Department of Agronomy,India,Ludhiana
100278686,Department of Cell Biology,United States,Albuquerque
100278932,Department of Neurology,Singapore,Singapore City
100279652,Department of Pharmacology and Toxicology,Philippines,Manila
100279831,Department of Radiology,South Korea,Seoul
100280442,Institute of Aquaculture,Philippines,Miagao
100280598,Department of Orthopaedics,Taiwan,Hualien
100280783,Institute for Theoretical Physics,United States,Stony Brook
100281898,Department of Hematology,United Kingdom,London
100281936,Department of Surgery,Germany,Lubeck
100282278,Department of Botany,Bangladesh,Rajshahi
100282413,Department of Medicine,United States,Charlottesville
100282722,Department of Pathology,Japan,Kobe
100282723,Department of Medicine,Philippines,Quezon City
100283003,Section of Gastroenterology,Philippines,Manila
100283005,Department of Pediatrics,Philippines,Manila
100283130,Institute for Molecular Bioscience,Australia,Brisbane
100283298,Department of Medicine,United States,"Washington, D.C."
100283508,Department of Biological Sciences,United States,Highland Heights
100283998,Department of Psychiatry,South Korea,Jongno-gu
100284008,Department of Chemistry,Rwanda,Butare
100284320,Department of Chemistry,Taiwan,Hsinchu
100284471,Department of Obstetrics and Gynecology,Taiwan,Taipei
100284506,Department of Physics and Astronomy,United Kingdom,Leicester
100284725,Department of Otorhinolaryngology,Thailand,Bangkok
100285404,Department of Clinical Microbiology,India,Vellore
100285617,Department of Rheumatology,Spain,Barcelona
100285677,Department of Neurology,Spain,Barcelona
100285900,Department of Geography,United Kingdom,Durham
100285902,Institute of Public Health,Philippines,Manila
100285922,Department of Biological Sciences,United States,St Cloud
100286554,Department of Surgery,Philippines,Manila
100286563,Department of Environmental Engineering,South Korea,Seosan
100287239,Department of Physics,Cameroon,Yaounde
100287339,Department of Radiology,France,Limoges
100287733,Division of Cardiology,Italy,Monza
100287775,Department of Ophthalmology,Thailand,Bangkok
100287931,Department of Pathology,Japan,Nagasaki
100287943,Department of Veterinary Medicine,Japan,Tokyo
100288886,Department of Medicine,Canada,Toronto
100288889,Department of Biological Sciences,United States,Fayetteville
100289042,Service of Internal Medicine,Spain,Caceres
100289138,Department of Neurology,Austria,Vienna
100290130,Department of Chemistry,Malaysia,Serdang
100290328,Department of Neurology,China,Beijing
100290441,Department of Surgery,Canada,Toronto
100290460,Department of Biology,Canada,Waterloo
100290476,Department of Surgery,Philippines,Quezon City
100291084,Department of Psychiatry,Philippines,Manila
100291102,Institute of Chemistry,Philippines,Los Banos
100291455,Department of Psychology,Finland,Abo
100291599,Department of Orthopaedic Surgery,Japan,Niigata
100291620,College of Life Sciences,China,Hangzhou
100291740,Department of Internal Medicine,South Korea,Gwangju
100291871,Department of Agronomy,Brazil,Lavras
100292101,Department of Zoology and Physiology,United States,Baton Rouge
100292120,School of Business,Chile,Santiago
100292219,Department of Surgery,Taiwan,Changhua
100292364,Department of Chemistry,United States,Princeton
100292391,Department of Chemistry,Taiwan,Chung-Li
100292710,Department of Chemistry,United States,Clarion
100292787,Division of Physics,Philippines,Los Banos
100292920,Department of Agricultural Economics,India,Pantnagar
100293214,Department of Gastroenterology,China,Kunming
100293562,Division of Nephrology,United States,Boston
100293895,Department of Biology,United States,San Bernardino
100294166,Department of Emergency Medicine,Taiwan,Taipei
100294305,Department of Rheumatology,Spain,Sevilla
100294579,Department of Dermatology,Poland,Warsaw
100294978,Department of Hematology,Iran,Tehran
100295162,School of Chemistry,Thailand,Nakhon Ratchasima
100296289,Department of Chemical Engineering,Indonesia,Surabaya
100296435,Department of Mathematics,United States,Stony Brook
100297182,Department of Civil Engineering,Taiwan,Tainan
100297503,Department of Medicine,Philippines,Quezon City
100297763,Department of Cardiology,Portugal,Lisbon
100298195,Department of Neurological Surgery,United States,Los Angeles
100298300,Department of Anthropology,United States,"Washington, D.C."
100298348,Department of Biological Sciences,United Kingdom,Durham
100298388,Department of Urology,South Korea,Gwangju
100298499,Department of Pediatrics,Italy,Verona
100298766,Department of Sociology,Australia,North Ryde
100298787,Department of Environmental Sciences,Canada,Truro
100299349,Department of Biology,United States,Bryn Mawr
100299386,Department of Electrical & Computer Engineering,Singapore,Singapore City
100299447,Department of Pathology,United States,New York
100299521,Department of Chemistry,Japan,Hachioji
100299539,Department of Biological Sciences,United States,Old Westbury
100300144,Department of Endocrinology,Viet Nam,Hanoi
100300176,Chemistry Department,United States,Upton
100300195,Department of Biology,Canada,Ottawa
100300680,Department of Biology,United States,Dartmouth
100300997,Department of Physics,Philippines,Quezon City
100301042,Department of Cardiology,Germany,Heidelberg
100301255,Department of Geological Sciences,Chile,Antofagasta
100301480,Department of Biology,United States,Jacksonville
100301544,Department of Neurology,United States,Durham
100302268,Department of Information Management,Taiwan,Min-Hsiung
100302483,Department of Internal Medicine,Netherlands,Enschede
100302880,Department of Geography,United States,Honolulu
100302949,Department of Neurology,Japan,Tokyo
100303162,Department of Immunology,Indonesia,Jakarta
100303233,Department of Public Health,Japan,Tokyo
100303273,Department of Obstetrics and Gynecology,Singapore,Singapore City
100303343,Department of Medical Oncology,Greece,Athens
100303709,Department of Physics,Japan,Tokyo
100304010,Department of Genetics,Israel,Jerusalem
100304249,Department of Neurology,South Korea,Seoul
100304681,Department of Preventive Medicine and Community Health,United States,Galveston
100304958,Department of Otorhinolaryngology,South Korea,Ulsan
100305020,Department of Chemistry,Taiwan,Taipei
100305342,Department of Medicine,Austria,Salzburg
100305446,Department of Entomology,United States,Tucson
100305467,Department of Physics,Canada,Ottawa
100305975,School of Environmental Sciences,South Africa,Thohoyandou
100306366,Department of Internal Medicine,Japan,Tokyo
100306492,Department of Chemistry,Australia,Perth
100306576,Department of Public Health,Indonesia,Yogyakarta
100307008,Department of Ophthalmology,United Kingdom,Manchester
100310233,Research Institute for Polymers and Textiles,Japan,Tsukuba
100310320,Kanagawa Prefectural Public Health Laboratory,Japan,Yokohama
100310756,National Medical Center,South Korea,Seoul
100310806,Institutul de Pneumoftiziologie Marius Nasta,,Bucuresti
100310819,Takeda General Hospital,Japan,Kyoto
100310930,Hospital Universitario,Spain,Madrid
100311003,Banyu Tsukuba Research Institute,Japan,Tsukuba
100311024,Food and Agriculture Organization,Italy,
100311161,Ospedali Riuniti di Foggia,Italy,Foggia
100311163,Matsudo City Hospital,Japan,Matsudo
100311209,National Research Institute of Fisheries Science,Japan,Yokohama
100311675,Center for Applied Biodiversity Science,United States,Washington
100311795,Obayashi,Japan,Tokyo
100311950,University School of Medicine,Japan,Yokohama
100312174,Kanagawa Prefectural Museum of Natural History,Japan,Odawara
100312294,Natl. Grassland Research Institute,Japan,Nasushiobara
100312401,Postgraduate Medical Institute,Pakistan,Lahore
100312458,Tachikawa Hospital,Japan,Tokyo
100312565,ARC Weed Research Organization,United Kingdom,Oxford
100312622,Hospital Mexico,Costa Rica,San Jose
100312834,Korean Institute of Architects,South Korea,Seoul
100312850,Yamanashi Prefectural Central Hospital,Japan,Kofu
100312918,National Academy of Agricultural Science,South Korea,Suwon
100312949,University of Guam,United States,Mangilao
100313166,Graduate School of Medicine,Japan,Kyoto
100313406,College House,United Kingdom,London
100313500,Birmingham,United Kingdom,Birmingham
100313617,Roy. Nat. ENT Hosp.,United Kingdom,London
100313713,Shigei Medical Research Institute,Japan,Yamada
100313979,Kofu City Hospital,Japan,Kofu
100314146,Fujieda Municipal General Hospital,Japan,Fujieda
100314338,Yokohama Sakae Kyosai Hospital,Japan,Yokohama
100314708,Clinical Trials and Epidemiology Research Unit,Singapore,Singapore City
100315201,Japan Intl. Res. Ctr. Agric. Sci.,Japan,Tsukuba
100315796,Hokuriku Natl. Agric. Exp. Station,Japan,Niigata
100315816,Parkview Hospital,United States,Fort Wayne
100315823,Japanese Foundation Cancer Research,Japan,Tokyo
100315841,Ishikawa Agricultural College,Japan,Ishikawa
100316476,Tropical Products Institute,United Kingdom,London
100316487,Rockford Memorial Hospital,United States,Rockford
100316675,Miyakawa Memorial Research Foundation,Japan,Tokyo
100316954,UP-PGH,Philippines,Manila
100317152,National Center for Epilepsy,Norway,Sandvika
100317897,Center of Epilepsy,Germany,Bielefeld
100317926,Zen-noh Institute of Animal Health,Japan,Sakura
100318113,General Hospital Celje,Slovenia,Celje
100318135,Istituto Scientifico di Pavia,Italy,Pavia
100318166,Naval Blood Research Laboratory,United States,Boston
100318298,Hospital Selayang,Malaysia,Kepong
100318372,Shanghai Municipal Center for Disease Control and Prevention,China,Shanghai
100318565,Base Hospital Lucknow,India,Lucknow
100318920,Kofu Municipal Hospital,Japan,Kofu
100319236,Nagasaki City Hospital,Japan,Nagasaki
100319386,Research and Development Unit,Spain,Barcelona
100319758,UNDP,United States,New York
100319842,National Institute for Nutrition and Food Safety,China,Beijing
100319957,U.S. Naval Medical Research Unit No. 2,Philippines,Manila
100319990,Institute of the Society for Techno-innovation of Agriculture,Japan,Tsukuba
100320021,Lown Institute,United States,Brookline
100320157,Norwegian Health Services Research Centre,Norway,Oslo
100320317,Paracelsus University,Austria,Salzburg
100320465,Yamanashi Central Hospital,Japan,Yamanashi
100320555,Ministry of Health,Laos,Vientiane
100320615,Institute for Transfusion Medicine,United States,Pittsburgh
100320621,Central Hospital of Sogn og Fjordane,Norway,Forde
100320844,T.D. Medical College Hospital,India,Alappuzha
100321004,Nuclear Research Institute,Viet Nam,Da Lat City
100321025,Fed. Inst. Hlth. Protect. C.,Germany,Berlin
100321075,Houston Eye Associates,United States,Houston
100321203,International Obesity TaskForce,United Kingdom,London
100321417,Mahosot Hospital,Laos,Oxford
100321471,Foundation for Advanced Studies on International Development,Japan,Tokyo
100322089,Zen-noh Institute of Animal Health,Japan,Sakura
100322092,Grande Ospedale Metropolitano Bianchi-Melacrino-Morelli,Italy,Reggio Calabria
100322301,Center for Coastal Studies,United States,Bradford
100322585,Museum of Nature and Human Activities,Japan,Sanda
100322797,Probity Medical Research,Canada,Waterloo
100322828,Population Council,Thailand,Bangkok
100322946,Leo Pharmaceuticals,United Kingdom,Princes Risborough
100323082,Fourth Hurdle Consulting Ltd.,United Kingdom,London
100323196,Deemed University,India,
100323821,Inst. F. Org. Chem. der Univ.,Germany,Mainz
100323962,Laboratory of Public Health,Japan,Tokyo
100323965,Assuta Hospitals,Israel,Tel Aviv-Yafo
100323988,Japan Intl. Res. Ctr. Agric. Sci.,Japan,Ishigaki
100324039,WHO Regional Office for South-East Asia,India,New Delhi
100324049,University Hospital,Spain,Valencia
100324337,Medical Centre,United Kingdom,London
100324701,NORDCO Ltd,Canada,St John's
100324746,Third Institute of Oceanography,China,Xiamen
100324752,Tajimi Municipal Hospital,Japan,Tajimi
100324854,Rachel Forster Hospital,Australia,Sydney
100325350,Hanil General Hospital,South Korea,Seoul
100325369,National Institute of Epidemiology,India,Chennai
100325912,Shanghai Institute of Digestive Disease,China,Shanghai
100325919,University Clinical Center,Bosnia and Herzegovina,Tuzla
100326208,Sassoon General Hospital,India,Pune
100326213,Univ. Klin. Magdeburg,Germany,Magdeburg
100327156,International Center for Living Aquatic Resources Management (ICLARM),Philippines,Manila
100327173,Chukogu National Agricultural Experiment Station,Japan,Fukuyama
100327220,Teikoku Women's University,Japan,Moriguchi
100327343,Ministry of Health,Eritrea,
100327550,Shanghai Jing An Qu Central Hospital,China,Shanghai
100327707,Forest Department Sarawak,Malaysia,Kuching
100327734,Prakla-Seismos AG,Germany,Hannover
100328203,Arcelor Research,France,Metz
100328415,Hospital de la Serranía,Spain,Malaga
100328495,Long Ashton Research Station,United Kingdom,Bristol
100328810,Institut für Technische Optik,Germany,Stuttgart
100328843,WHO Collaborating Ctr. Intl. Drug M.,Sweden,Uppsala
100328844,Kobe City Medical Center,Japan,Kobe
100328899,Centre Hospitalier Jolimont,Belgium,La Louviere
100329056,Lancaster Cleft Palate Clinic,United States,Lancaster
100329449,Pham Ngoc Thach Hospital for Tuberculosis and Lung Disease,Viet Nam,Ho Chi Minh City
100329611,Sezione di Firenze,Italy,Florence
100329683,Alameda County Health Care Services Agency,United States,Oakland
100329739,M.-P.-Inst. Terrestrische Mikrobiol.,Germany,Marburg
100329846,International Centre for Eye Health,United Kingdom,London
100330018,Lahore General Hospital,Pakistan,Lahore
100330027,P.S. Medical College,India,Anand
100330153,College of Public Health,Taiwan,Taipei
100330362,CH-1292 Chambésy/GE,Switzerland,Geneva
100330482,Leo Lab. Ltd.,United Kingdom,Princes Risborough
100330980,Hospital of Monfalcone,Italy,Gorizia
100330989,Public Hospital,New Zealand,Palmerston North
100331135,Amer. Foundation for AIDS Research,United States,New York
100331390,Komatsu Municipal Hospital,Japan,Komatsu
100331391,Asian-Pacific Research Foundation for Infectious Diseases (ARFID),South Korea,Seoul
100331666,"Ecology and Environment, Inc.",United States,Lancaster
100331668,Wuhan Institute of Biological Products,China,Wuhan
100331759,Institute of Medical Statistics and Biometry,Italy,Milan
100331856,Blythedale Children's Hospital,United States,Valhalla
100332010,Institut für Molekulare Biologie,Germany,Braunschweig
100332508,"Towa Kagaku Co., Ltd.",Japan,Hiroshima
100332583,Wuppertal Institute for Climate,Germany,Wuppertal
100332744,Quest Clinical Research,United States,San Francisco
100332861,Ministry of Health,Costa Rica,San Jose
100333212,Liverpool,United Kingdom,Liverpool
100333279,Public Health Laboratory Centre,Hong Kong,Hong Kong
100333390,Natural History Museum,,Belgrade
100333615,Midwest Orthopaedic Research Foundation,United States,Minneapolis
100333925,School of Public Health,Australia,Brisbane
100333976,Clinical Genetic Service,Hong Kong,Hong Kong
100334253,Institute of Parasitic Diseases,China,Shanghai
100334527,IlYang Central Research Institute,South Korea,Yongin
100334970,S.M. Nuova Hospital,Italy,Florence
100334994,Lions Aravind Institute of Community Ophthalmology,India,Madurai
100335119,"Applied Phytologics, Inc.",United States,Sacramento
100335456,Mitsubishi Kagaku BCL,Japan,Tokyo
100335505,Division of Vector Borne Diseases,Kenya,Nairobi
100335636,Agricultural Research Center,Japan,Tsukuba
100336602,Swiss College of Agriculture,Switzerland,Zollikofen
100336761,Center for Drug Evaluation,Taiwan,Taipei
100336945,W. Africa Rice Devmt. Association,Senegal,St Louis
100336998,Sir Ganga Ram Hospital,Pakistan,Lahore
100337512,Hiroshima Pref. Fish. Exp. Station,Japan,Hiroshima
100337568,National Engineering Center for Biochip at Shanghai,China,Shanghai
100337754,School of Psychology,New Zealand,Wellington
100337946,Rinku General Medical Center,Japan,Izumisano
100338364,E. Applebaum Coll. Pharm./Hlth. Sci.,United States,Detroit
100338521,Flour Milling and Baking Research Association,United Kingdom,Rickmansworth
100338576,Institute for Human Development,India,New Delhi
100338633,ITC,,
100339114,Sanofi Pasteur,Canada,Toronto
100339127,University of Belarus,Belarus,Minsk
100339243,University Hospital,Spain,Madrid
100339343,Health Effects Institute,United States,Boston
100339462,WHO Regional Office for the Eastern Mediterranean,Egypt,Alexandria
100339506,Taiping Hospital,Malaysia,Taiping
100339866,Santa Rosa Junior College,United States,Santa Rosa
100340041,Australian National Botanic Gardens,Australia,Canberra
100340254,Government Home Science College,India,Chandigarh
100340849,School of Preventive Oncology,India,Patna
100340976,Faculty of Bioscience Engineering,Belgium,Ghent
100341036,Anhui Institute of Parasitic Diseases,China,Wuhu
100341239,Malaysian Meteorological Service,Malaysia,Petaling Jaya
100341250,China National Hybrid Rice Research and Development Center,China,Changsha
100341287,Flour Milling and Baking Research Association,United Kingdom,Chorleywood
100341351,Res. Inst. Med. Radiol.,Ukraine,Kharkov
100341459,Ministry of Agriculture,Bhutan,
100341628,Hospital de Messejana,Brazil,Fortaleza
100342028,Yunnan Academy of Forestry,China,Kunming
100342489,Niigata Agricultural Research Institute,Japan,Nagaoka
100342496,Forest Science Centre,Australia,Creswick
100342626,Center for HIV and Hepatogastroenterology,Germany,Dusseldorf
100342647,Ministry of Health,Spain,Madrid
100343274,Kovai Medical Center and Hospital,India,Coimbatore
100343349,Federal Ministry of Health,Nigeria,Abuja
100343369,Network of Aquaculture Centres in Asia-Pacific,Thailand,Bangkok
100343419,Bank of Israel,Israel,Jerusalem
100344013,Sideview,United Kingdom,Princes Risborough
100344696,Policlinico San Marco,Italy,Bergamo
100345041,Principia College,United States,Mountain View
100345377,University of Washington Medical Research Unit,Taiwan,Taipei
100345829,Hospital do Coração,Brazil,Sao Paulo
100346081,Pest Animal Control Cooperative Research Centre,Australia,Canberra
100346914,Tuberculosis and Chest Service,Hong Kong,Hong Kong
100347240,Municipal Clinical Oncologic Hospital No. 62,Russian Federation,Moscow
100347547,Institute of Meteorology and Hydrology,Mongolia,Ulaanbaatar
100347651,Tachikawa General Hospital,Japan,Nagaoka
100347789,ABL Herbarium,Netherlands,Soest
100348291,Flór Ferenc Hospital,Hungary,Kistarcsa
100348439,Military Medical Academy,Egypt,Cairo
100348448,Japan Atomic Power Company,Japan,Tokyo
100348609,Sayaji Baug Zoo,India,Vadodara
100348854,NOAA Beaufort Laboratory,United States,Beaufort
100349050,Exeter North Devon Health Authority,United Kingdom,Exeter
100349399,Treatment Action Group,United States,New York
100349650,Hospital Escuela,Honduras,Tegucigalpa
100349774,General Hospital,Singapore,Singapore City
100350673,Guangzhou Marine Geological Survey,China,Guangzhou
100350809,Sakha Agricultural Research Station,Egypt,Kafr El-Sheikh
100350906,Holy Family Hospital,India,New Delhi
100351006,University of Applied Sciences,Germany,Emden
100351559,Tokai Regional Fisheries Research Laboratory,Japan,Tokyo
100352014,HHSC-General Division,Canada,Hamilton
100352361,Centro de Salud San Blas,Spain,Madrid
100352472,Providence Everett Medical Center,United States,Everett
100352516,"BHA Group, Inc",United States,Kansas City
100352805,National Parks Board,Singapore,Singapore City
100352939,State Key Laboratory for Molecular Virology and Genetic Engineering,China,Beijing
100352962,Okinawa Prefectural Chubu Hospital,Japan,Okinawa
100353203,Gleneagles Medical Centre,Malaysia,Kuala Lumpur
100353259,Yunnan Academy of Social Sciences,China,Kunming
100353708,International Centre for Soil Fertility and Agricultural Development (IFDC),Togo,Lome
100354034,National Public Health Laboratory,Finland,Helsinki
100354552,Institute for Global Environmental Strategies,Japan,Hayama
100354732,Ministry of Health,Fiji,Suva
100355523,National Centre of Excellence in Molecular Biology,Pakistan,Lahore
100355570,Marine Ecology Research Institute,Japan,Chiba
100355807,Apollo Institute of Medical Sciences and Research,India,Hyderabad
100355870,Lilly Area Medical Center Vienna,Austria,Vienna
100355930,Institute of Agricultural Sciences,Viet Nam,Ho Chi Minh City
100356037,School of Dentistry,Australia,Brisbane
100356206,PATH,United States,Washington
100356241,Centre Régional de Lutte contre le Cancer,France,Rennes
100356477,NAMSA,United States,Irvine
100356518,Ventria Bioscience,United States,Sacramento
100356675,IDT GmbH,Germany,Dessau-Rosslau
100356745,Anyang Technical College,South Korea,Anyang
100356826,Hubei Institute of Schistosomiasis Control,China,Wuhan
100356833,Refractive Surgery Center of the South,United States,New Orleans
100356873,Woodbrook Medical Centre,United Kingdom,Loughborough
100357050,Nat. Fertilizer Developm. Cent.,United States,Muscle Shoals
100357177,Toledo Clinic,United States,Toledo
100358038,National Center of Cardiology and Internal Medicine,Kyrgyzstan,Bishkek
100358867,ERM Australia Pty Ltd.,Australia,Sydney
100359376,Summer Instit Linguistics,Philippines,Manila
100359558,Industrial Technology Development Institute,Philippines,Manila
100359736,Sunway Medical Centre,Malaysia,Petaling Jaya
100359768,ECFMG,United States,Philadelphia
100359777,Tianjin Centers for Disease Control and Prevention,China,Tianjin
100359785,Royal Nepal Academy of Science and Technology,Nepal,Kathmandu
100359793,Tamil Nadu Rice Research Institute,India,Tamilnadu
100360214,Hospital Nacional de Niños Benjamín Bloom,El Salvador,San Salvador
100360370,National Cancer Institute,Colombia,Bogota
100360411,WHO,India,New Delhi
100360422,Gyemyoung University Dongsan Hospital,South Korea,Daegu
100360728,Indian River Community College,United States,Fort Pierce
100361167,Institute of Oceanography,Viet Nam,Nha Trang
